date_time,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,has_tweets,num_tweets,case_ratio,compound_score,pos,neu,neg,sentiment_class,pred_classes,pred_classes_int,total_favorite_count,total_retweet_count
2018-02-15 12:30:00,109.28,107.47530612244894,112.06231292517003,110.72851157149259,109.34381943077356,-1.3846921407190536,3.883936179531149,119.83018528423234,104.29444056610777,109.23037850302799,102.28,1,1.0,0.01702,-0.8689,0.0,0.753,0.247,0,pos,2,89071.0,20780.0
2018-02-15 13:30:00,109.3,107.5259183673469,112.02884353741491,110.71289942316984,109.34278838534357,-1.3701110378262484,3.8859883455034137,119.80082022842177,104.2568668464081,109.27679283434266,102.3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-15 14:30:00,109.63,107.59469387755101,111.99585034013604,110.70106445679606,109.34954630568843,-1.3515181511076122,3.8850295718187673,119.76590948377356,104.22579119649849,109.51226427811423,102.63,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-15 15:30:00,109.74,107.62387755102036,111.96367346938773,110.69056102010948,109.35873345143696,-1.331827568672523,3.8844892233366695,119.73265191606107,104.19469502271437,109.66408809270472,102.74,1,1.0,0.05036,0.875,0.222,0.753,0.025,2,neg,0,100976.0,20642.0
2018-02-16 09:30:00,109.76,107.64959183673466,111.93346938775505,110.68039095431568,109.36817501728552,-1.3122159370301605,3.883313145582048,119.70009567891917,104.16684309659095,109.72802936423493,102.76,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 10:30:00,110.13,107.65836734693876,111.90571428571423,110.67437575262899,109.38610031099644,-1.2882754416325497,3.8806098861387097,119.6669340579917,104.14449451343685,109.99600978807831,103.13,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 11:30:00,110.45,107.67265306122444,111.88081632653058,110.67192355861113,109.41113324485535,-1.2607903137557912,3.876855027920647,119.63452638237189,104.12710627068928,110.29866992935943,103.45,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 12:30:00,110.45,107.68448979591831,111.85591836734692,110.66949816452788,109.4355771685058,-1.2339209960220927,3.872910940380361,119.60174024810765,104.11009648658622,110.3995566431198,103.45,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 13:30:00,110.03,107.70469387755098,111.82816326530607,110.66250911354923,109.44956358807035,-1.2129455254789008,3.8697860894657587,119.5677354442376,104.08859108637456,110.15318554770658,103.03,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 14:30:00,110.03,107.71857142857138,111.79850340136049,110.65559644564144,109.46322091540985,-1.1923755302315726,3.865694971881865,119.52989334512422,104.06711345759678,110.07106184923552,103.03,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-16 15:30:00,110.38,107.73530612244892,111.77299319727886,110.65258446262888,109.48479218798845,-1.1677922746404192,3.859518589282621,119.49203037584411,104.05395601871362,110.27702061641183,103.38,1,2.0,0.05047,-0.7309,0.088,0.741,0.171,0,neg,0,217289.0,41736.0
2018-02-19 09:30:00,110.38,107.77408163265301,111.74700680272105,110.64960539746346,109.50585590121227,-1.1437494962511892,3.8541548062200266,119.45531641516108,104.03869719028098,110.34567353880396,103.38,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-19 10:30:00,110.38,107.824081632653,111.72102040816324,110.64665889038729,109.5264239976543,-1.1202348927329382,3.8445787160114144,119.41017784018604,104.0318629761404,110.368557846268,103.38,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-19 11:30:00,110.38,107.88673469387749,111.69510204081631,110.64374458557423,109.546508138886,-1.097236446688214,3.8346889686304686,119.36447997807724,104.02572410355538,110.376185948756,103.38,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
