date_time_index,Date,Time,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,date_time_index,filled_timebin,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2017-02-09 15:30:00,02/09/2017,15:30,97.81,97.81,97.79,97.79,97.82,97.82,97.8,97.8,2017-02-09 15:30:00,False,97.79,97.02816326530599,96.7908163265306,96.85606069807802,96.99629927793593,0.14023857985790755,0.49474170282894137,97.78029973218848,95.80133292087272,97.78503225342128,90.79
2017-02-10 09:30:00,02/10/2017,09:30,97.87,97.96,97.87,97.87,97.96,98.02,97.96,97.97,2017-02-10 09:30:00,False,97.87,97.04714285714273,96.79850340136053,96.86736311322257,97.01686102557034,0.1494979123477691,0.5028222302886479,97.80414786193784,95.79285894078323,97.84167741780709,90.87
2017-02-10 10:30:00,02/10/2017,10:30,97.9,97.91,97.89,97.91,97.91,97.92,97.9,97.92,2017-02-10 10:30:00,False,97.91,97.0716326530611,96.80918367346938,96.87898288735863,97.03788013645986,0.15889724910122993,0.5109966230986134,97.8311769196666,95.78719042727215,97.8872258059357,90.91
2017-02-10 11:30:00,02/10/2017,11:30,97.94,97.94,97.94,97.94,97.95,97.95,97.95,97.95,2017-02-10 11:30:00,False,97.94,97.10102040816314,96.82034013605443,96.89080495248984,97.05911050648189,0.16830555399204172,0.5193948767814532,97.85912988961734,95.78155038249152,97.92240860197857,90.94
2017-02-10 12:30:00,02/10/2017,12:30,98.07,98.07,98.07,98.07,98.08,98.08,98.08,98.08,2017-02-10 12:30:00,False,98.07,97.13428571428558,96.83108843537416,96.9039409787293,97.0829005406262,0.1789595618969031,0.5299896060569158,97.89106764748799,95.77110922326032,98.0208028673262,91.07
2017-02-10 13:30:00,02/10/2017,13:30,98.12,98.12,98.12,98.12,98.13,98.13,98.13,98.13,2017-02-10 13:30:00,False,98.12,97.16836734693865,96.84183673469387,96.91748480728496,97.10730728769639,0.18982248041142213,0.5410554376765512,97.92394761004698,95.75972585934076,98.08693428910874,91.12
2017-02-10 14:30:00,02/10/2017,14:30,98.18,98.19,98.18,98.19,98.19,98.2,98.19,98.2,2017-02-10 14:30:00,False,98.19,97.20102040816312,96.85197278911565,96.93165446053413,97.13278690265545,0.2011324421213203,0.5528058811559449,97.95758455142754,95.74636102680375,98.15564476303625,91.19
2017-02-10 15:30:00,02/10/2017,15:30,98.15,98.15,98.15,98.15,98.16,98.16,98.16,98.16,2017-02-10 15:30:00,False,98.15,97.23510204081619,96.86170068027211,96.94521812959624,97.15672544977745,0.21150732018121232,0.5636002816645872,97.98890124360128,95.73450011694294,98.15188158767876,91.15
2017-02-13 09:30:00,02/13/2017,09:30,98.22,98.32,98.22,98.32,98.42,98.43,98.42,98.43,2017-02-13 09:30:00,False,98.32,97.27775510204069,96.87129251700681,96.9605202622055,97.18410121782959,0.22358095562408664,0.57693619675713,98.02516491052107,95.71742012349254,98.26396052922625,91.32
2017-02-13 10:30:00,02/13/2017,10:30,98.51,98.51,98.5,98.5,98.52,98.52,98.51,98.51,2017-02-13 10:30:00,False,98.5,97.3224489795917,96.88122448979591,96.97765212490475,97.21506862558111,0.23741650067636044,0.5931225356034028,98.06746956100272,95.6949794185891,98.42132017640876,91.5
2017-02-13 11:30:00,02/13/2017,11:30,98.59,98.59,98.58,98.59,98.6,98.6,98.59,98.59,2017-02-13 11:30:00,False,98.59,97.36612244897945,96.89170068027211,96.9955913126395,97.24742513855587,0.25183382591636416,0.6103960392801354,98.11249275883237,95.67090860171184,98.53377339213625,91.59
2017-02-13 12:30:00,02/13/2017,12:30,98.59,98.59,98.59,98.59,98.59,98.59,98.59,98.59,2017-02-13 12:30:00,False,98.59,97.41163265306109,96.90367346938775,97.01332740973996,97.27902008057582,0.2656926708358611,0.6269401500110757,98.1575537694099,95.64979316936561,98.57125779737875,91.59
2017-02-13 13:30:00,02/13/2017,13:30,98.83,98.83,98.79,98.8,98.84,98.84,98.8,98.81,2017-02-13 13:30:00,False,98.8,97.46142857142846,96.91673469387756,97.03319836353232,97.31481331396651,0.2816149504341894,0.6469665798136801,98.21066785350492,95.6228015342502,98.72375259912626,91.8
2017-02-13 14:30:00,02/13/2017,14:30,98.74,98.74,98.73,98.73,98.74,98.75,98.74,98.74,2017-02-13 14:30:00,False,98.73,97.51142857142845,96.93054421768707,97.05206615585693,97.34811679451107,0.29605063865413683,0.6647077265745147,98.2599596708361,95.60112876453805,98.72791753304209,91.73
2017-02-13 15:30:00,02/13/2017,15:30,98.67,98.67,98.67,98.67,98.68,98.68,98.68,98.68,2017-02-13 15:30:00,False,98.67,97.55510204081621,96.9430612244898,97.07005353869151,97.37922446209775,0.3091709234062421,0.6806057848174369,98.30427279412467,95.58184965485492,98.68930584434736,91.67
2017-02-14 09:30:00,02/14/2017,09:30,98.68,98.68,98.62,98.62,98.68,98.68,98.65,98.66,2017-02-14 09:30:00,False,98.62,97.58489795918356,96.9552380952381,97.08728182343177,97.40842333568511,0.3211415122533481,0.694229996305204,98.34369808784851,95.5667781026277,98.64310194811578,91.62
2017-02-14 10:30:00,02/14/2017,10:30,98.63,98.65,98.63,98.63,98.64,98.66,98.64,98.64,2017-02-14 10:30:00,False,98.63,97.61204081632641,96.96748299319728,97.10442656630511,97.43717031051172,0.3327437442066099,0.7077279338601961,98.38293886091768,95.55202712547688,98.63436731603859,91.63
2017-02-14 11:30:00,02/14/2017,11:30,98.75,98.75,98.75,98.75,98.76,98.76,98.76,98.76,2017-02-14 11:30:00,False,98.75,97.63938775510192,96.98054421768707,97.12271100288974,97.46806461271217,0.3453536098224248,0.7224310192642722,98.42540625621561,95.53568217915853,98.71145577201287,91.75
2017-02-14 12:30:00,02/14/2017,12:30,98.78,98.8,98.77,98.8,98.78,98.81,98.78,98.81,2017-02-14 12:30:00,False,98.8,97.6669387755101,96.99394557823129,97.14134444283839,97.49940842166694,0.3580639788285538,0.7375768637982284,98.46909930582775,95.51879185063483,98.77048525733763,91.8
2017-02-14 13:30:00,02/14/2017,13:30,99.09,99.09,99.08,99.08,99.1,99.1,99.09,99.09,2017-02-14 13:30:00,False,99.08,97.70020408163255,97.00925170068027,97.16287758952427,97.53660362383368,0.37372603430941354,0.757350971029805,98.52395364273988,95.49454975862065,98.97682841911255,92.08
2017-02-14 14:30:00,02/14/2017,14:30,99.15,99.15,99.14,99.14,99.16,99.16,99.15,99.15,2017-02-14 14:30:00,False,99.14,97.73551020408154,97.02496598639455,97.18483408270745,97.57433536403398,0.38950128132653106,0.7760859844714849,98.57713795533752,95.47279401745158,99.08560947303751,92.14
